NCESSCH,SCHNAM
530039002642.00,Kelsey Creek Home School Center
530039002796.00,Bsd Voc Ed/Career Educ Options
530039003149.00,International School
530039003354.00,Bellevue Big Picture School
530039003434.00,Central Educational Services
530039003462.00,Grad Alliance Program
530048000119.00,Bethel High School
530048000120.00,Bethel Junior High
530048000128.00,Spanaway Middle School
530048000595.00,Frontier Jr High
530048001819.00,Cedarcrest Jr High
530048001821.00,Spanaway Lake High School
530048002200.00,Challenger High School
530048003003.00,Graham Kapowsin High School
530048003158.00,Cougar Mountain Junior High School
530048003276.00,Bethel Online Academy
530048003343.00,Liberty Middle School
530048003466.00,Acceleration Academy
530141000250.00,Clover Park High School
530141000252.00,Dower Elementary School
530141000261.00,Lakes High School
530141000271.00,Firwood
530141001707.00,Lakewood Career Academy
530141002839.00,Alfaretta House
530141002860.00,Re-Entry High School
530141002862.00,Special Education Services/relife
530141003000.00,Harrison Prep School
530141003396.00,Transition Day Students
530141003402.00,Oakridge Group Home
530141003535.00,CPSD Open Doors Program
530237000327.00,Eatonville High School
530237001899.00,Eatonville Middle School
530237003461.00,New Beginnings
530282000434.00,Decatur High School
530282000435.00,Federal Way High School
530282000451.00,Thomas Jefferson High School
530282000452.00,Totem Middle School
530282002254.00,Merit School
530282002638.00,Internet Academy
530282002719.00,Federal Way Public Academy
530282002961.00,Support School
530282003124.00,Employment Transition Program
530282003154.00,Todd Beamer High School
530282003232.00,Federal Way Running Start Home School
530282003245.00,Technology Access Foundation Academy
530282003306.00,Career Academy at Truman High School
530282003374.00,Gateway to College
530282003479.00,Open Doors Youth Reengagement (1418)
530282003610.00,TAFA at Saghalie
530288000465.00,Fife High School
530288002749.00,Learning Opportunity Center
530288003161.00,Columbia Junior High School
530294000475.00,Franklin Pierce High School
530294000483.00,Washington High School
530294001769.00,Gates Secondary School
530294003436.00,Gates Open Doors Program
530315000499.00,Grandview High School
530315002497.00,Compass High School
530315002701.00,Contract Learning Center
530315003550.00,Step Up to College Open Doors High School
530318000502.00,Granger High School
530351002876.00,Highland High School
530351003148.00,Highland Junior High School
530354000526.00,Evergreen High School
530354000531.00,Highline High School
530354000538.00,Mount Rainier High School
530354000555.00,Tyee High School
530354002640.00,CHOICE Academy
530354002967.00,New Start
530354002974.00,Raisbeck Aviation High School
530354002976.00,Big Picture School
530354003061.00,Odyssey - The Essential School
530354003069.00,Academy of Citizenship and Empowerment
530354003071.00,Global Connections High School
530354003164.00,Health Sciences & Human Services
530354003180.00,Technology - Engineering & Communications
530354003182.00,Arts & Academics Academy
530354003224.00,Career Link
530354003283.00,Puget Sound High School
530354003373.00,Gateway to College
530354003384.00,Southwest Youth and Family Services
530354003484.00,Highline Open Doors 1418
530354003496.00,Highline Home School Center
530375000574.00,Issaquah High School
530375000576.00,Liberty Sr High School
530375001490.00,Issaquah Special Services
530375001773.00,Echo Glen School
530375002106.00,Tiger Mountain Community High School
530375002567.00,Skyline High School
530375003588.00,Gibson Ek High School
530396000621.00,Kent-Meridian High School
530396000622.00,Kentridge High School
530396001840.00,Kentwood High School
530396002569.00,Kent Mountain View Academy
530396002570.00,Kentlake High School
530396002728.00,Regional Justice Center
530396003178.00,Kent Phoenix Academy
530396003382.00,iGrad
530396003564.00,The Outreach Program
530423000670.00,Juanita High
530423000671.00,Kamiakin Middle School
530423000672.00,Kirkland Middle School
530423000674.00,Lake Washington High
530423000679.00,Redmond High
530423000680.00,Redmond Middle School
