geoid,name,year,total_est,total_se
01000US,United States,2009,48.402756,.18963045
01000US,United States,2010,47.618954,.17195332
01000US,United States,2011,47.439617,.19183894
01000US,United States,2012,47.710514,.18215452
01000US,United States,2013,46.147129,.15916705
01000US,United States,2014,47.114014,.16103576
01000US,United States,2015,47.637756,.1941915
01000US,United States,2016,47.961319,.18273126
01000US,United States,2017,48.018372,.18466681
